resource,label,rdam_agent_prop,rdaw_agent_prop,vra_image_agent_prop,vra_work_agent_prop,rico_agent_prop,dc_agent_fallback,rdam_place_prop,rdaw_place_prop,vra_place_prop,dc_place_fallback
http://terminology.lido-schema.org/lido00012,creation,rdam:P30329,rdaw:P10065,vra:creator,vra:creator,rico:hasCreator,dc:contributor,rdam:P30086,rdaw:P10218,vra:placeOfCreation,dc:spatial
http://terminology.lido-schema.org/lido00228,publication,rdam:P30083,dc:contributor,dc:contributor,dc:contributor,rico:hasPublisher,dc:contributor,rdam:P30088,dc:spatial,vra:placeOfPublication,dc:spatial
http://terminology.lido-schema.org/lido00003,unknown_event,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,dc:spatial,dc:spatial
http://terminology.lido-schema.org/eventType/publication,publication,rdam:P30083,dc:contributor,dc:contributor,dc:contributor,rico:hasPublisher,dc:contributor,rdam:P30088,dc:spatial,vra:placeOfPublication,dc:spatial
http://terminology.lido-schema.org/eventType/creation,creation,rdam:P30329,rdaw:P10065,vra:creator,vra:creator,rico:hasCreator,dc:contributor,rdam:P30086,rdaw:P10218,vra:placeOfCreation,dc:spatial
http://terminology.lido-schema.org/lido00007,production,rdam:P30081,dc:contributor,vra:producer,vra:producer,dc:contributor,dc:contributor,rdam:P30086,rdaw:P10218,vra:placeOfCreation,dc:spatial
http://terminology.lido-schema.org/lido01127,photography,rdam:P30329,rdaw:P10056,vra:photographer,vra:photographer,dc:contributor,dc:contributor,rdam:P30086,rdaw:P10218,vra:placeOfCreation,dc:spatial
http://terminology.lido-schema.org/lido00011,use,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,dc:spatial,dc:spatial
http://terminology.lido-schema.org/lido00030,performance,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,vra:placeOfPerformance,dc:spatial
http://terminology.lido-schema.org/lido00224,designing,dc:contributor,rdaw:P10051,vra:designer,vra:designer,dc:contributor,dc:contributor,rdam:P30086,rdaw:P10218,vra:placeOfCreation,dc:spatial
http://terminology.lido-schema.org/lido00001,change_of_legal_title,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,dc:spatial,dc:spatial
http://terminology.lido-schema.org/lido00004,activity,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,dc:spatial,dc:spatial
http://terminology.lido-schema.org/lido00006,modification,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,dc:spatial,dc:spatial
http://terminology.lido-schema.org/lido00031,execution_of_design,rdam:P30081,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,rdam:P30086,rdaw:P10218,vra:placeOfCreation,dc:spatial
http://terminology.lido-schema.org/lido00227,provenance,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,dc:spatial,dc:spatial
http://terminology.lido-schema.org/lido00226,commissioning,dc:contributor,rdaw:P10287,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,dc:spatial,dc:spatial
http://terminology.lido-schema.org/lido00002,finding,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,vra:placeOfDiscovery,dc:spatial
http://terminology.lido-schema.org/lido00010,collection,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,dc:spatial,dc:spatial
http://terminology.lido-schema.org/lido00021,part_removal,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,dc:spatial,dc:spatial
http://terminology.lido-schema.org/lido00033,excavation,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,vra:placeOfDiscovery,dc:spatial
http://terminology.lido-schema.org/lido00026,destruction,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,dc:spatial,dc:spatial
http://terminology.lido-schema.org/lido00034,restoration,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,dc:spatial,dc:spatial
http://terminology.lido-schema.org/lido01151,change_of_physical_control_or_legal_title,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,dc:spatial,dc:spatial
http://terminology.lido-schema.org/lido00008,part_addition,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,dc:spatial,dc:spatial
http://terminology.lido-schema.org/lido00402,conservation,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,dc:spatial,dc:spatial
http://terminology.lido-schema.org/lido00005,change_of_physical_control,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,dc:spatial,dc:spatial
http://terminology.lido-schema.org/lido00032,planning,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:contributor,dc:spatial,dc:spatial,dc:spatial,dc:spatial
